nom_departement;Localisation;NB_habitant;Densite_pop_km²;Variation_pop_sur_10_ans_%;Contribution_solde_naturel_%;Contribution_solde_migratoire_%;Pop_moins_20_ans;Population_60_ans_et_plus;Taux_de_chomage_t4_%;Taux_de_pauvrete_%;NB_logements;NB_residences_principales;Parc_social_NB_logements;Parc_social_loyer_moyen_km²_mensuel;Parc_social_age_moyen;Parc_social_taux_de_logements_energivores_%
Ain;Sud;657907;114;10,139;4,073;6,067;25;24;6;10,3;317983;274538;46649;5,811;30;36
Aisne;Nord;528471;71;-2,227;1,228;-3,455;24;27;11;18,4;266640;231215;40635;5,278;39;37
Allier;Sud;333847;45;-2,642;-3,73;1,088;20;35;8,4;15,5;208375;162853;20421;5,162;38;25
Alpes-de-Haute-Provence;Sud;165232;23;3,174;-1,867;5,041;20;34;9;16,8;129062;78089;7544;5,843;28;25
Alpes-Maritimes;Sud;1088178;253;0,876;0,495;0,381;21;31;8,9;15,8;772316;512562;57228;6,612;32;6
Ardèche;Sud;327740;59;4,015;-1,303;5,318;21;32;8,4;14,4;204906;148173;13663;5,233;35;31
Ardennes;Nord;267496;51;-5,562;0,083;-5,644;22;29;9,5;18,9;143015;121658;24259;4,994;40;18
Ariège;Sud;153113;31;0,707;-3,137;3,844;20;34;9,9;18;110222;72404;3619;5,005;35;
Aube;Nord;310161;51;2,253;1,027;1,226;24;28;10;16,2;165501;141918;32186;5,371;39;27
Aude;Sud;376059;61;5,496;-1,901;7,397;21;33;10,4;20,7;263889;174294;17882;5,363;38;10
Aveyron;Sud;279334;31;0,914;-3,531;4,445;20;35;6;14;182027;130680;8626;4,721;42;21
Bas-Rhin;Nord;1143364;240;4,331;3,426;0,904;22;25;6,9;13,7;561561;499905;68678;5,916;43;22
Bouches-du-Rhône;Sud;2044355;401;3,668;4,365;-0,697;23;26;9,2;18,7;1034043;908790;160495;5,865;39;7
Côte-d'Or;Nord;532576;60;1,567;1,626;-0,059;22;27;6;11,2;290523;249765;36983;5,703;35;17
Côtes-d'Armor;Nord;599271;87;1,29;-2,411;3,701;22;33;6,8;11,7;369601;277289;23091;5,048;31;13
Calvados;Nord;693310;124;1,494;1,152;0,342;23;28;7,2;12,4;419713;315751;59435;5,595;36;19
Cantal;Sud;143821;25;-2,93;-5,837;2,907;18;36;4,5;13;101693;68833;6195;5,176;35;32
Charente;Sud;349878;58;-0,483;-2,115;1,632;20;33;7,5;15;198241;164551;16066;5,165;40;13
Charente-Maritime;Sud;650757;94;4,569;-2,96;7,529;20;35;8;12,8;436869;308933;29536;5,481;33;7
Cher;Nord;299153;41;-3,889;-2,301;-1,588;20;33;7,7;14,3;179125;142526;20947;5,162;37;37
Corrèze;Sud;239470;40;-1,676;-4,569;2,893;20;35;6,4;13,1;154656;114177;9829;4,858;32;38
Corse-du-Sud;Sud;161208;40;12,262;-0,521;12,783;20;31;6,6;16,1;120566;69342;6254;6,045;31;19
Creuse;Sud;115555;20;-6,075;-8,593;2,518;17;39;7;18,7;88727;57456;5542;4,574;43;27
Deux-Sèvres;Sud;374608;62;1,446;-0,47;1,916;22;30;5,6;12,3;195050;167961;15665;5,115;35;31
Dordogne;Sud;411528;45;-0,633;-4,926;4,293;18;37;7,9;16,3;260245;195895;14256;5,215;34;18
Doubs;Nord;542997;103;2,885;3,936;-1,05;24;25;7,2;12,1;282055;245757;37678;5,581;41;23
Drôme;Sud;520531;79;7,389;2,53;4,859;24;28;8,5;14,8;275726;229776;28772;5,477;34;11
Essonne;Nord;1309566;725;7,753;9,023;-1,27;27;20;7;13,1;564587;518768;124822;6,34;36;18
Eure;Nord;596993;98;1,782;3,053;-1,272;25;26;8;12,5;297286;253986;42454;5,596;35;20
Eure-et-Loir;Nord;429641;73;0,165;2,831;-2,666;24;27;7,2;12;216684;185040;32310;5,131;39;24
Finistère;Nord;913187;135;1,733;-1,318;3,052;22;30;6,6;10,6;545808;430088;47934;5,376;33;12
Gard;Sud;749136;127;5,557;1,393;4,164;22;30;10,6;19,8;428087;336215;41731;5,669;38;6
Gers;Sud;191322;30;1,681;-4,247;5,928;19;35;6,1;14,9;111171;88771;5763;4,88;33;7
Gironde;Sud;1636085;152;12,892;2,955;9,937;23;25;7,5;12,6;872327;740536;106677;6,034;28;5
Guadeloupe;DOM-TOM;379707;233;-5,863;4,333;-10,196;24;27;19,4;;229421;172818;37208;6,147;20;
Guyane;DOM-TOM;288086;3;25,78;26,983;-1,203;41;9;17,8;;91566;80060;18920;6,283;19;
Hérault;Sud;1184031;194;13,352;2,592;10,76;22;27;11;19,7;729652;543017;65454;5,851;26;7
Haute-Corse;Sud;184659;39;12,32;-0,342;12,662;20;29;7,3;20,6;132077;80642;8632;5,534;34;14
Haute-Garonne;Sud;1409629;223;13,347;5,667;7,68;24;22;8,2;13,3;728248;643337;91643;6,234;26;11
Haute-Loire;Sud;227878;45;1,729;-1,685;3,413;22;32;6,1;12,1;143699;102719;8265;5,228;39;30
Haute-Marne;Nord;170339;27;-7,444;-1,823;-5,621;20;32;6,7;14,9;100617;81254;15936;4,956;45;23
Haute-Saône;Nord;234567;43;-2,079;-0,074;-2,005;22;30;6,8;13,2;128333;106579;11269;4,861;40;18
Hautes-Alpes;Sud;140349;25;2,466;-0,118;2,584;21;32;7,5;13,9;136581;66428;7972;5,29;38;50
Haute-Savoie;Sud;831867;189;12,706;6,115;6,591;24;22;6,6;8,9;517217;360944;49115;6,234;27;20
Hautes-Pyrénées;Sud;229205;51;-0,11;-3,336;3,226;19;34;8,8;15,4;162729;109301;12629;5,378;39;11
Haute-Vienne;Sud;371228;67;-1,319;-1,22;-0,099;21;32;7,2;15,5;220762;182193;26183;5,078;44;14
Haut-Rhin;Nord;765130;217;2,047;2,708;-0,661;23;27;8;12,9;380237;333661;50180;5,62;45;24
Hauts-de-Seine;Nord;1628798;9254;3,581;9,009;-5,428;24;20;6,8;11,9;801736;719924;202385;6,98;45;17
Ille-et-Vilaine;Nord;1085753;160;9,878;4,267;5,612;25;23;6,3;10,5;554254;478061;73607;5,485;31;11
Indre;Nord;218129;32;-5,644;-4,672;-0,972;19;36;7,5;14,5;138879;105675;17530;5,251;36;26
Indre-et-Loire;Nord;608781;99;3,093;1,76;1,333;23;28;6,9;13;325171;281840;50703;5,334;39;13
Isère;Sud;1269323;170;5,218;5,136;0,082;25;24;6,6;11,3;653289;548468;90178;5,944;36;26
Jura;Nord;258766;51;-1,058;-0,409;-0,649;22;31;5,4;11,8;150169;119876;14131;4,768;45;33
La Réunion;DOM-TOM;856858;342;4,35;11,408;-7,058;29;18;17,4;38,9;376047;332399;77216;6,073;19;
Landes;Sud;414728;44;7,912;-1,534;9,446;20;32;7,6;11,8;259512;188793;13617;5,321;28;7
Loire;Sud;765546;160;2,216;2,022;0,194;24;28;7,8;15;399133;341580;60011;5,116;43;20
