nom_departement;nom_region;Salaire_n_mensuel;nombre_d_habitants;densite_de_population_au_km2;variation_de_la_population_sur_10_ans_en;dont_contribution_du_solde_naturel_en;dont_contribution_du_solde_migratoire_en;population_de_moins_de_20_ans;population_de_60_ans_et_plus;taux_de_chomage_au_t4_en;taux_de_pauvrete_en;nombre_de_logements;nombre_de_residences_principales;taux_de_logements_sociaux_en;parc_social_nombre_de_logements;parc_social_loyer_moyen_en_eur_m2_mois;parc_social_age_moyen_du_parc_en_annees;parc_social_taux_de_logements_energivores_e_f_g_en
Ain;Auvergne-Rhone-Alpes;2285;648744;112;11.0;4.0;7.0;25;23;6.0;10.0;308491;266866;16.0;44661;5.6;31;40
Aisne;Hauts-de-France;2103;531100;72;-1.0;1.0;-3.0;25;26;12.0;19.0;264180;229928;17.0;40974;5.3;38;37
Allier;Auvergne-Rhone-Alpes;2046;335354;45;-2.0;-3.0;1.0;20;34;9.0;15.0;206980;162287;11.0;19457;5.0;38;28
Alpes-de-Haute-Provence;Provence-Aples-Cote d'Azur;2119;162277;23;2.0;-1.0;3.0;21;33;10.0;16.0;126760;76342;9.0;7303;5.8;28;26
Alpes-Maritimes;Provence-Aples-Cote d'Azur;2415;1082139;251;0.0;0.0;0.0;21;30;9.0;15.0;761857;508855;10.0;53932;6.6;33;8
Ardeche;Auvergne-Rhone-Alpes;2127;326632;59;4.0;0.0;5.0;22;31;9.0;14.0;201264;145356;9.0;13156;5.1;36;34
Ardennes;Grand Est;2095;270234;51;-4.0;0.0;-5.0;23;28;10.0;19.0;142010;121963;19.0;23922;4.9;40;20
Ariege;Occitanie;2029;152611;31;1.0;-2.0;4.0;20;33;11.0;18.0;108589;71209;5.0;3652;4.9;35;0
Aube;Grand Est;2089;309183;51;2.0;1.0;0.0;24;27;11.0;15.0;163064;140126;22.0;32040;5.4;40;26
Aude;Occitanie;1991;368323;59;5.0;-1.0;6.0;21;33;12.0;21.0;258453;169678;10.0;17365;5.3;38;13
Aveyron;Occitanie;2021;278217;31;0.0;-3.0;3.0;20;34;6.0;14.0;179901;128799;6.0;8432;4.6;42;22
Bas-Rhin;Grand Est;2328;1125345;236;3.0;3.0;0.0;23;24;7.0;13.0;546387;487736;13.0;66248;5.8;44;29
Bouches-du-Rhone;Provence-Aples-Cote d'Azur;2447;2030464;399;3.0;4.0;-1.0;23;26;10.0;18.0;1009576;890131;17.0;156594;5.8;39;8
Calvados;Bourgogne-France-Comte;2256;692663;124;2.0;1.0;0.0;23;28;8.0;12.0;412038;309902;18.0;57446;5.5;36;21
Cantal;Bretagne;2084;144417;25;-2.0;-5.0;2.0;18;35;5.0;14.0;101070;68680;8.0;6119;5.3;31;33
Charente;Normandie;2161;351505;59;0.0;-1.0;1.0;20;32;8.0;14.0;196145;163164;9.0;15829;5.1;39;13
Charente-Maritime;Auvergne-Rhone-Alpes;1919;645148;93;5.0;-2.0;7.0;20;34;9.0;13.0;427696;303096;9.0;27546;5.4;34;9
Cher;Nouvelle-Aquitaine;2135;302754;41;-3.0;-1.0;-1.0;21;32;9.0;14.0;177873;142114;14.0;21088;5.1;36;38
Correze;Nouvelle-Aquitaine;2103;241280;41;0.0;-4.0;3.0;20;34;7.0;13.0;153380;113076;8.0;9818;5.1;30;40
